bid,timestamp,ask,delta_time
5.2327562999999996e-05,2015-01-01 00:00:00,0.000139327563,0.0
4.9892778e-05,2015-01-01 01:00:00,0.00013689277799999998,3600.0
3.91e-05,2015-01-01 02:00:00,0.0001261,7200.0
3.587e-05,2015-01-01 03:00:00,0.00012287,10800.0
3.34e-05,2015-01-01 04:00:00,0.0001204,14400.0
3.6473838e-05,2015-01-01 05:00:00,0.000123473838,18000.0
3.91e-05,2015-01-01 06:00:00,0.0001261,21600.0
4.4518520000000006e-05,2015-01-01 07:00:00,0.00013151852,25200.0
3.8427872e-05,2015-01-01 08:00:00,0.00012542787200000002,28800.0
4.0384147e-05,2015-01-01 09:00:00,0.000127384147,32400.0
3.8525817e-05,2015-01-01 10:00:00,0.00012552581700000002,36000.0
3.8799999999999994e-05,2015-01-01 11:00:00,0.0001258,39600.0
3.885e-05,2015-01-01 12:00:00,0.00012585,43200.0
3.8799999999999994e-05,2015-01-01 13:00:00,0.0001258,46800.0
3.885e-05,2015-01-01 14:00:00,0.00012585,50400.0
5.1103530999999994e-05,2015-01-01 15:00:00,0.000138103531,54000.0
5.5496336999999994e-05,2015-01-01 16:00:00,0.000142496337,57600.0
6.2197937e-05,2015-01-01 17:00:00,0.000149197937,61200.0
5.8897548e-05,2015-01-01 18:00:00,0.000145897548,64800.0
5.6964904e-05,2015-01-01 19:00:00,0.000143964904,68400.0
5.5992443999999996e-05,2015-01-01 20:00:00,0.000142992444,72000.0
5.3117817e-05,2015-01-01 21:00:00,0.000140117817,75600.0
4.9348668e-05,2015-01-01 22:00:00,0.000136348668,79200.0
4.4891061e-05,2015-01-01 23:00:00,0.000131891061,82800.0
4.9811854e-05,2015-01-02 00:00:00,0.00013681185399999998,86400.0
4.1005288e-05,2015-01-02 01:00:00,0.000128005288,90000.0
3.8982208e-05,2015-01-02 02:00:00,0.000125982208,93600.0
3.5279466999999996e-05,2015-01-02 03:00:00,0.000122279467,97200.0
3.6330872999999994e-05,2015-01-02 04:00:00,0.000123330873,100800.0
4.0603771e-05,2015-01-02 05:00:00,0.000127603771,104400.0
5.2299837e-05,2015-01-02 06:00:00,0.000139299837,108000.0
5.6768681e-05,2015-01-02 07:00:00,0.00014376868100000003,111600.0
6.4241483e-05,2015-01-02 08:00:00,0.000151241483,115200.0
6.424618e-05,2015-01-02 09:00:00,0.00015124618,118800.0
6.4838093e-05,2015-01-02 10:00:00,0.000151838093,122400.0
6.2916043e-05,2015-01-02 11:00:00,0.000149916043,126000.0
5.8451974e-05,2015-01-02 12:00:00,0.000145451974,129600.0
5.8450906e-05,2015-01-02 13:00:00,0.000145450906,133200.0
6.61e-05,2015-01-02 14:00:00,0.00015309999999999998,136800.0
6.9833639e-05,2015-01-02 15:00:00,0.00015683363900000002,140400.0
7.0204813e-05,2015-01-02 16:00:00,0.000157204813,144000.0
7.5e-05,2015-01-02 17:00:00,0.000162,147600.0
6.8799059e-05,2015-01-02 18:00:00,0.000155799059,151200.0
6.556436600000001e-05,2015-01-02 19:00:00,0.000152564366,154800.0
